estimate;effect;pert;sdom;vp;milieu;ouest;StdErr;DF;tValue;Probt
0.275395395;ldhp;;;;;_;0.245120663;1482.070697;1.123509506;0.261403117
1.91984852;ldhp2;;;;;_;0.092146237;2361.517551;20.83480117;0
0.01480782;ldhp*st;;;;;_;0.002372616;2356.312052;6.241135775;5.13531E-10
-0.831529091;ldhp*rdhp;;;;;_;0.093024788;2367.140515;-8.93879053;0
-0.001884138;ldhp*alt;;;;;_;0.000249202;618.7763695;-7.560675285;1.454E-13
-0.203955999;ldhp*ouest;;;;;0;0.050439521;594.3595135;-4.043575272;5.9575E-05
-0.303951904;ldhp*milieu;;;;0;_;0.172329685;854.2249397;-1.763781458;0.078126204
-0.285672987;ldhp*milieu;;;;1;_;0.202339305;680.3664662;-1.411851182;0.158450961
0.013767551;ldhp*milieu;;;;2;_;0.151744632;850.7605377;0.090728425;0.92772974
0.221362688;ldhp*milieu;;;;3;_;0.236416073;718.7418845;0.936326729;0.349419484
