row;effect;pert;sdom;vp;milieu;Col1;Col2;Col3;Col4;Col5;Col6;Col7;Col8;Col9;Col10;Col11;Col12;Col13;Col14;Col15;Col17
1;ldhp;;;;;0.0593883255858704000000000;-0.0107190808945236000000000;0.0000292040583498000000000;0.0077562025643016000000000;-0.0000276657366809000000000;-0.0047208382610430000000000;-0.0052849377865908000000000;-0.0062792124888684000000000;-0.0063687582870188000000000;-0.0069727947731017000000000;-0.0090786293370041000000000;-0.0068822419228617000000000;-0.0089127939961707000000000;-0.0075753928239495000000000;-0.0079463852096418000000000;0.0000005778336913000000000
2;ldhp2;;;;;-0.0107190808945236000000000;0.0051269608940304000000000;-0.0000338530317409000000000;-0.0042015087880091000000000;0.0000005086004329000000000;-0.0003867451232842000000000;-0.0000556508917377000000000;0.0001979689670965000000000;0.0003802521873396000000000;0.0005568123353731000000000;0.0010295011708077000000000;0.0002806371364224000000000;0.0006592571400753000000000;0.0006795514936680000000000;0.0008952722017992000000000;-0.0000001882622316000000000
3;ldhp*st;;;;;0.0000292040583498000000000;-0.0000338530317409000000000;0.0000017042197559000000000;0.0000232926128353000000000;-0.0000000013441952000000000;0.0000086193857443000000000;0.0000065017210141000000000;0.0000054626148877000000000;0.0000044858896151000000000;0.0000029128620038000000000;-0.0000028148615927000000000;-0.0000017072533732000000000;0.0000072614527353000000000;-0.0000019878194228000000000;0.0000012066518954000000000;0.0000000071628594000000000
4;ldhp*rdhp;;;;;0.0077562025643016000000000;-0.0042015087880091000000000;0.0000232926128353000000000;0.0048456344639409000000000;-0.0000005234539767000000000;0.0003493869144757000000000;-0.0000725743394941000000000;-0.0002751197072105000000000;-0.0004777634403990000000000;-0.0006233732914059000000000;-0.0009335793795976000000000;-0.0004462665806395000000000;-0.0007914434847951000000000;-0.0006182102845695000000000;-0.0008839138124265000000000;0.0000000245596689000000000
5;ldhp*ptot;;;;;-0.0000276657366809000000000;0.0000005086004329000000000;-0.0000000013441952000000000;-0.0000005234539767000000000;0.0000000267827178000000000;-0.0000014726927630000000000;-0.0000014180829247000000000;-0.0000009179138579000000000;-0.0000012990631564000000000;-0.0000007201682374000000000;0.0000003796587206000000000;-0.0000004507203451000000000;0.0000008142156757000000000;-0.0000007171695874000000000;-0.0000007209064260000000000;-0.0000000044975040000000000
6;ldhp*vp;;;FE3;;-0.0047208382610430000000000;-0.0003867451232842000000000;0.0000086193857443000000000;0.0003493869144757000000000;-0.0000014726927630000000000;0.0110421861049700000000000;0.0075647801509809000000000;0.0075377116550958000000000;0.0074782944680077000000000;0.0075731474502736000000000;0.0074382758534921000000000;0.0073577415630807000000000;0.0074413999117708000000000;0.0073794465314464000000000;0.0074311190424475000000000;-0.0000016219979850000000000
7;ldhp*vp;;;MJ1;;-0.0052849377865908000000000;-0.0000556508917377000000000;0.0000065017210141000000000;-0.0000725743394941000000000;-0.0000014180829247000000000;0.0075647801509809000000000;0.0104635374433792000000000;0.0075683357243210000000000;0.0075240521000675000000000;0.0076353487918062000000000;0.0075226902444064000000000;0.0074030816147619000000000;0.0075165419237799000000000;0.0074336547907735000000000;0.0075092173792552000000000;-0.0000016858995651000000000
8;ldhp*vp;;;MJ2;;-0.0062792124888684000000000;0.0001979689670965000000000;0.0000054626148877000000000;-0.0002751197072105000000000;-0.0000009179138579000000000;0.0075377116550958000000000;0.0075683357243210000000000;0.0089651663536080000000000;0.0075327629718087000000000;0.0076720573046034000000000;0.0075985868584176000000000;0.0074154319065764000000000;0.0075828837021828000000000;0.0074636712419851000000000;0.0075542069844342000000000;-0.0000019013647167000000000
9;ldhp*vp;;;MS1;;-0.0063687582870188000000000;0.0003802521873396000000000;0.0000044858896151000000000;-0.0004777634403990000000000;-0.0000012990631564000000000;0.0074782944680077000000000;0.0075240521000675000000000;0.0075327629718087000000000;0.0099939379428377000000000;0.0076149471200545000000000;0.0075495454479107000000000;0.0074036882448246000000000;0.0075284091747963000000000;0.0074586791004699000000000;0.0075458555193771000000000;-0.0000012579008694000000000
10;ldhp*vp;;;MS2;;-0.0069727947731017000000000;0.0005568123353731000000000;0.0000029128620038000000000;-0.0006233732914059000000000;-0.0000007201682374000000000;0.0075731474502736000000000;0.0076353487918062000000000;0.0076720573046034000000000;0.0076149471200545000000000;0.0097709480107222000000000;0.0077694510194591000000000;0.0074821558670988000000000;0.0077259944439790000000000;0.0075567138684501000000000;0.0076813376291171000000000;-0.0000025787664086000000000
11;ldhp*vp;;;RE2;;-0.0090786293370041000000000;0.0010295011708077000000000;-0.0000028148615927000000000;-0.0009335793795976000000000;0.0000003796587206000000000;0.0074382758534921000000000;0.0075226902444064000000000;0.0075985868584176000000000;0.0075495454479107000000000;0.0077694510194591000000000;0.0128735044423633000000000;0.0074582748007289000000000;0.0077446829622038000000000;0.0075585974136928000000000;0.0076820416278628000000000;-0.0000024959402273000000000
12;ldhp*vp;;;RS1;;-0.0068822419228617000000000;0.0002806371364224000000000;-0.0000017072533732000000000;-0.0004462665806395000000000;-0.0000004507203451000000000;0.0073577415630807000000000;0.0074030816147619000000000;0.0074154319065764000000000;0.0074036882448246000000000;0.0074821558670988000000000;0.0074582748007289000000000;0.0124210325749980000000000;0.0074368600016191000000000;0.0073776740209424000000000;0.0074302991905537000000000;-0.0000009778242216000000000
13;ldhp*vp;;;RS2;;-0.0089127939961707000000000;0.0006592571400753000000000;0.0000072614527353000000000;-0.0007914434847951000000000;0.0000008142156757000000000;0.0074413999117708000000000;0.0075165419237799000000000;0.0075828837021828000000000;0.0075284091747963000000000;0.0077259944439790000000000;0.0077446829622038000000000;0.0074368600016191000000000;0.0115193433144827000000000;0.0074968719578035000000000;0.0076293000688924000000000;-0.0000022840706056000000000
14;ldhp*vp;;;RS3;;-0.0075753928239495000000000;0.0006795514936680000000000;-0.0000019878194228000000000;-0.0006182102845695000000000;-0.0000007171695874000000000;0.0073794465314464000000000;0.0074336547907735000000000;0.0074636712419851000000000;0.0074586791004699000000000;0.0075567138684501000000000;0.0075585974136928000000000;0.0073776740209424000000000;0.0074968719578035000000000;0.0112489639909705000000000;0.0075233354677320000000000;-0.0000011218884476000000000
15;ldhp*vp;;;RS5;;-0.0079463852096418000000000;0.0008952722017992000000000;0.0000012066518954000000000;-0.0008839138124265000000000;-0.0000007209064260000000000;0.0074311190424475000000000;0.0075092173792552000000000;0.0075542069844342000000000;0.0075458555193771000000000;0.0076813376291171000000000;0.0076820416278628000000000;0.0074302991905537000000000;0.0076293000688924000000000;0.0075233354677320000000000;0.0085715854632677000000000;-0.0000015317909481000000000
17;ldhp*alt;;;;;0.0000005778336913000000000;-0.0000001882622316000000000;0.0000000071628594000000000;0.0000000245596689000000000;-0.0000000044975040000000000;-0.0000016219979850000000000;-0.0000016858995651000000000;-0.0000019013647167000000000;-0.0000012579008694000000000;-0.0000025787664086000000000;-0.0000024959402273000000000;-0.0000009778242216000000000;-0.0000022840706056000000000;-0.0000011218884476000000000;-0.0000015317909481000000000;0.0000000172978792000000000
