row;effect;pert;sdom;vp;milieu;Col1;Col2;Col3;Col4;Col5;Col6;Col8;Col9;Col10;Col11;Col12;Col13;Col15
1;ldhp;;;;;0.2255564999058300000000000;-0.0341382993245808000000000;0.0001680196934341000000000;0.0246535900772225000000000;-0.0062856020177511000000000;-0.0089199605263167000000000;-0.0070767388177088000000000;-0.0024136652041780000000000;-0.0081663731866758000000000;-0.0042373363282372000000000;-0.0109637869326103000000000;-0.0073103559540993000000000;-0.0001438573523881000000000
2;ldhp2;;;;;-0.0341382993245808000000000;0.0143354313317797000000000;-0.0001707581752315000000000;-0.0106398265248304000000000;0.0006051738861454000000000;0.0004277224180062000000000;0.0010387864120191000000000;0.0004793365296968000000000;0.0002167018248715000000000;0.0005040924307387000000000;0.0009861563848838000000000;0.0013138668941453000000000;0.0000060244882887000000000
3;ldhp*st;;;;;0.0001680196934341000000000;-0.0001707581752315000000000;0.0000074488058291000000000;0.0000940296631187000000000;0.0000212209700762000000000;-0.0000013555262256000000000;0.0000430119016103000000000;0.0000317895327966000000000;0.0000317903714615000000000;0.0000324529604273000000000;0.0000384949298639000000000;0.0000275026891213000000000;0.0000000404222127000000000
4;ldhp*rdhp;;;;;0.0246535900772225000000000;-0.0106398265248304000000000;0.0000940296631187000000000;0.0109716303541307000000000;-0.0005190113187553000000000;-0.0002520222274219000000000;-0.0012986594723702000000000;-0.0006242130441487000000000;-0.0006629199675303000000000;-0.0009162923108473000000000;-0.0011543401925826000000000;-0.0013317404992505000000000;-0.0000062098155414000000000
5;ldhp*milieu;;;;0;-0.0062856020177511000000000;0.0006051738861454000000000;0.0000212209700762000000000;-0.0005190113187553000000000;0.0081175043244916000000000;0.0013825775276391000000000;0.0015151028778798000000000;0.0017651650513846000000000;0.0007125069881691000000000;0.0019158005294134000000000;0.0020580783162309000000000;0.0014627225613801000000000;0.0000018798470492000000000
6;ldhp*milieu;;;;1;-0.0089199605263167000000000;0.0004277224180062000000000;-0.0000013555262256000000000;-0.0002520222274219000000000;0.0013825775276391000000000;0.0073857423948676000000000;0.0011661755274234000000000;0.0009734691442651000000000;0.0011308728895234000000000;0.0010738688404830000000000;0.0007711371604045000000000;0.0004538591877320000000000;0.0000058703713277000000000
8;ldhp*vp;;;FE2;;-0.0070767388177088000000000;0.0010387864120191000000000;0.0000430119016103000000000;-0.0012986594723702000000000;0.0015151028778798000000000;0.0011661755274234000000000;0.0238881453444162000000000;0.0083428605035958000000000;0.0078354757343241000000000;0.0083107112349505000000000;0.0081377922414487000000000;0.0081695931568612000000000;-0.0000039004996562000000000
9;ldhp*vp;;;FE3;;-0.0024136652041780000000000;0.0004793365296968000000000;0.0000317895327966000000000;-0.0006242130441487000000000;0.0017651650513846000000000;0.0009734691442651000000000;0.0083428605035958000000000;0.0122477759559567000000000;0.0077345530951014000000000;0.0083580945302345000000000;0.0080346196178919000000000;0.0081407042875912000000000;-0.0000073421406937000000000
10;ldhp*vp;;;FE6;;-0.0081663731866758000000000;0.0002167018248715000000000;0.0000317903714615000000000;-0.0006629199675303000000000;0.0007125069881691000000000;0.0011308728895234000000000;0.0078354757343241000000000;0.0077345530951014000000000;0.0136164531415098000000000;0.0077595655088295000000000;0.0076861877955457000000000;0.0076366766169992000000000;-0.0000003127357916000000000
11;ldhp*vp;;;MJ1;;-0.0042373363282372000000000;0.0005040924307387000000000;0.0000324529604273000000000;-0.0009162923108473000000000;0.0019158005294134000000000;0.0010738688404830000000000;0.0083107112349505000000000;0.0083580945302345000000000;0.0077595655088295000000000;0.0173988175655243000000000;0.0080672379448879000000000;0.0081011219693008000000000;-0.0000053129649639000000000
12;ldhp*vp;;;MJ2;;-0.0109637869326103000000000;0.0009861563848838000000000;0.0000384949298639000000000;-0.0011543401925826000000000;0.0020580783162309000000000;0.0007711371604045000000000;0.0081377922414487000000000;0.0080346196178919000000000;0.0076861877955457000000000;0.0080672379448879000000000;0.0118349265417964000000000;0.0079852192697371000000000;0.0000001761599200000000000
13;ldhp*vp;;;MS2;;-0.0073103559540993000000000;0.0013138668941453000000000;0.0000275026891213000000000;-0.0013317404992505000000000;0.0014627225613801000000000;0.0004538591877320000000000;0.0081695931568612000000000;0.0081407042875912000000000;0.0076366766169992000000000;0.0081011219693008000000000;0.0079852192697371000000000;0.0130404548247919000000000;-0.0000038465680663000000000
15;ldhp*ptot;;;;;-0.0001438573523881000000000;0.0000060244882887000000000;0.0000000404222127000000000;-0.0000062098155414000000000;0.0000018798470492000000000;0.0000058703713277000000000;-0.0000039004996562000000000;-0.0000073421406937000000000;-0.0000003127357916000000000;-0.0000053129649639000000000;0.0000001761599200000000000;-0.0000038465680663000000000;0.0000001320979265000000000
