Treatment;SpeciesName;SpeciesMatch
10;BOG;BOP
10;BOJ;BOJ
10;BOP;BOP
10;CAC;FEU
10;CAF;FEU
10;CAR;FEU
10;CEO;FEU
10;CET;FEU
10;CHX;FEU
10;CRA;FEU
10;EPX;EPX
10;ERA;ERR
10;ERG;FEU
10;ERN;FEU
10;ERP;FEU
10;ERR;ERR
10;ERS;ERS
10;FRA;FEU
10;FRN;FEU
10;FRP;FEU
10;HEG;HEG
10;JUV;RES
10;MAS;FEU
10;MEJ;RES
10;MEL;RES
10;MEU;RES
10;NOC;FEU
10;ORA;FEU
10;ORR;FEU
10;ORT;FEU
10;OSV;FEU
10;PEU;PEU
10;PID;RES
10;PIG;RES
10;PIN;RES
10;PIS;RES
10;PRP;FEU
10;PRU;RES
10;SAB;SAB
10;SAL;FEU
10;SOA;FEU
10;SOD;FEU
10;THO;THO
10;TIL;FEU
11;BOG;BOP
11;BOJ;BOJ
11;BOP;BOP
11;CAC;FEU
11;CAF;FEU
11;CAR;FEU
11;CEO;FEU
11;CET;FEU
11;CHX;FEU
11;CRA;FEU
11;EPX;EPX
11;ERA;ERR
11;ERG;FEU
11;ERN;FEU
11;ERP;FEU
11;ERR;ERR
11;ERS;ERS
11;FRA;FEU
11;FRN;FEU
11;FRP;FEU
11;HEG;HEG
11;JUV;SAB
11;MAS;FEU
11;MEJ;SAB
11;MEL;SAB
11;MEU;SAB
11;NOC;FEU
11;ORA;FEU
11;ORR;FEU
11;ORT;FEU
11;OSV;FEU
11;PEU;FEU
11;PID;SAB
11;PIG;SAB
11;PIN;SAB
11;PIS;SAB
11;PRP;FEU
11;PRU;SAB
11;SAB;SAB
11;SAL;FEU
11;SOA;FEU
11;SOD;FEU
11;THO;THO
11;TIL;FEU
12;BOG;FEU
12;BOJ;BOJ
12;BOP;BOJ
12;CAC;FEU
12;CAF;FEU
12;CAR;FEU
12;CEO;FEU
12;CET;FEU
12;CHX;FEU
12;CRA;FEU
12;EPX;RES
12;ERA;FEU
12;ERG;FEU
12;ERN;FEU
12;ERP;FEU
12;ERR;ERR
12;ERS;ERS
12;FRA;FEU
12;FRN;FEU
12;FRP;FEU
12;HEG;HEG
12;JUV;RES
12;MAS;FEU
12;MEJ;RES
12;MEL;RES
12;MEU;RES
12;NOC;FEU
12;ORA;FEU
12;ORR;FEU
12;ORT;FEU
12;OSV;FEU
12;PEU;FEU
12;PID;RES
12;PIG;RES
12;PIN;RES
12;PIS;RES
12;PRP;FEU
12;PRU;RES
12;SAB;SAB
12;SAL;FEU
12;SOA;FEU
12;SOD;FEU
12;THO;SAB
12;TIL;FEU
13;BOG;AUT
13;BOJ;BOJ
13;BOP;BOJ
13;CAC;AUT
13;CAF;AUT
13;CAR;AUT
13;CEO;AUT
13;CET;AUT
13;CHX;AUT
13;CRA;AUT
13;EPX;AUT
13;ERA;AUT
13;ERG;AUT
13;ERN;AUT
13;ERP;AUT
13;ERR;ERR
13;ERS;ERS
13;FRA;AUT
13;FRN;AUT
13;FRP;AUT
13;HEG;HEG
13;JUV;AUT
13;MAS;AUT
13;MEJ;AUT
13;MEL;AUT
13;MEU;AUT
13;NOC;AUT
13;ORA;AUT
13;ORR;AUT
13;ORT;AUT
13;OSV;AUT
13;PEU;AUT
13;PID;AUT
13;PIG;AUT
13;PIN;AUT
13;PIS;AUT
13;PRP;AUT
13;PRU;AUT
13;SAB;SAB
13;SAL;AUT
13;SOA;AUT
13;SOD;AUT
13;THO;AUT
13;TIL;TIL
14;BOG;AUT
14;BOJ;AUT
14;BOP;AUT
14;CAC;AUT
14;CAF;AUT
14;CAR;AUT
14;CEO;AUT
14;CET;AUT
14;CHX;AUT
14;CRA;AUT
14;EPX;AUT
14;ERA;AUT
14;ERG;AUT
14;ERN;AUT
14;ERP;AUT
14;ERR;AUT
14;ERS;ERS
14;FRA;AUT
14;FRN;AUT
14;FRP;AUT
14;HEG;HEG
14;JUV;AUT
14;MAS;AUT
14;MEJ;AUT
14;MEL;AUT
14;MEU;AUT
14;NOC;AUT
14;ORA;AUT
14;ORR;AUT
14;ORT;AUT
14;OSV;AUT
14;PEU;AUT
14;PID;AUT
14;PIG;AUT
14;PIN;AUT
14;PIS;AUT
14;PRP;AUT
14;PRU;AUT
14;SAB;AUT
14;SAL;AUT
14;SOA;AUT
14;SOD;AUT
14;THO;AUT
14;TIL;AUT
